timestamp,machine_id,vibration,acoustic,temperature,current,IMF_1,IMF_2,IMF_3,label
2024-07-01 10:17:00,M01,1.165,0.828,76.15,15.34,0.28,-0.055,0.02,1
2024-07-01 10:18:00,M01,0.739,0.552,64.78,11.88,0.162,-0.02,0.019,0
2024-07-01 10:19:00,M01,1.183,0.801,77.08,16.06,0.324,0.059,0.018,1
2024-07-01 10:20:00,M01,0.826,0.634,64.05,11.45,0.225,0.097,0.017,0
2024-07-01 10:21:00,M01,0.784,0.56,64.26,12.25,0.23,-0.07,0.016,0
2024-07-01 10:22:00,M01,0.789,0.641,63.5,12.02,0.133,0.008,0.015,0
2024-07-01 10:23:00,M01,0.867,0.53,65.78,11.09,0.087,0.094,0.014,0
2024-07-01 10:24:00,M01,0.886,0.565,65.33,12.73,0.222,0.077,0.013,0
2024-07-01 10:25:00,M01,0.837,0.608,63.51,12.32,0.086,-0.072,0.012,0
2024-07-01 10:26:00,M01,0.805,0.639,66.13,11.83,0.213,-0.013,0.011,0
2024-07-01 10:27:00,M01,0.799,0.57,64.9,12.11,0.093,0.096,0.01,0
2024-07-01 10:28:00,M01,0.82,0.652,68.69,12.11,0.195,0.008,0.009,0
2024-07-01 10:29:00,M01,0.758,0.615,69.0,11.43,0.083,-0.028,0.008,0
2024-07-01 10:30:00,M01,0.753,0.573,64.61,12.42,0.188,0.091,0.007,0
2024-07-01 10:31:00,M01,0.778,0.632,65.82,12.29,0.202,0.098,0.006,0
2024-07-01 10:32:00,M01,0.832,0.635,66.71,11.67,0.157,-0.069,0.005,0
2024-07-01 10:33:00,M01,0.788,0.605,67.13,11.46,0.121,-0.03,0.004,0
2024-07-01 10:34:00,M01,0.756,0.591,63.73,10.77,0.189,-0.053,0.003,0
2024-07-01 10:35:00,M01,0.826,0.533,65.87,11.76,0.224,-0.084,0.002,0
2024-07-01 10:36:00,M01,0.837,0.511,63.09,12.49,0.137,-0.085,0.001,0
2024-07-01 10:37:00,M01,0.724,0.676,65.19,12.12,0.172,0.019,0.0,0
2024-07-01 10:38:00,M01,0.803,0.625,65.16,11.8,0.211,-0.077,-0.001,0
2024-07-01 10:39:00,M01,0.861,0.57,67.04,12.5,0.252,-0.04,-0.002,0
2024-07-01 10:40:00,M01,0.784,0.685,64.53,12.88,0.188,0.051,-0.003,0
2024-07-01 10:41:00,M01,0.756,0.569,66.0,11.83,0.145,-0.063,-0.004,0
2024-07-01 10:42:00,M01,0.805,0.663,62.4,12.39,0.102,0.087,-0.005,0
2024-07-01 10:43:00,M01,0.876,0.579,66.43,12.27,0.261,-0.088,-0.006,0
2024-07-01 10:44:00,M01,1.232,0.756,79.05,15.17,0.27,-0.139,-0.007,1
2024-07-01 10:45:00,M01,0.908,0.613,66.02,13.66,0.162,0.001,-0.008,0
2024-07-01 10:46:00,M01,0.801,0.715,60.27,12.14,0.232,-0.007,-0.009,0
2024-07-01 10:47:00,M01,0.799,0.639,63.93,11.36,0.219,0.079,-0.01,0
2024-07-01 10:48:00,M01,0.753,0.56,67.16,12.63,0.149,-0.106,-0.011,0
2024-07-01 10:49:00,M01,0.79,0.546,64.94,11.69,0.228,-0.02,-0.012,0
2024-07-01 10:50:00,M01,0.764,0.69,65.31,12.29,0.087,0.077,-0.013,0
2024-07-01 10:51:00,M01,0.723,0.682,68.81,12.28,0.172,-0.047,-0.014,0
2024-07-01 10:52:00,M01,0.856,0.651,66.09,12.29,0.253,-0.074,-0.015,0
2024-07-01 10:53:00,M01,0.86,0.667,68.09,12.09,0.109,-0.061,-0.016,0
2024-07-01 10:54:00,M01,0.883,0.601,67.51,11.39,0.089,0.111,-0.017,0
2024-07-01 10:55:00,M01,0.783,0.646,63.59,11.23,0.193,-0.047,-0.018,0
2024-07-01 10:56:00,M01,0.848,0.589,65.56,11.91,0.19,0.002,-0.018,0
2024-07-01 10:57:00,M01,0.796,0.632,66.83,11.58,0.095,0.029,-0.019,0
2024-07-01 10:58:00,M01,0.778,0.615,65.1,12.46,0.229,-0.065,-0.02,0
2024-07-01 10:59:00,M01,0.925,0.676,64.51,11.68,0.199,-0.086,-0.021,0
2024-07-01 11:00:00,M01,0.85,0.557,63.12,12.57,0.213,-0.036,-0.022,0
2024-07-01 11:01:00,M01,0.9,0.573,62.35,11.99,0.194,-0.112,-0.023,0
2024-07-01 11:02:00,M01,0.86,0.574,65.79,11.54,0.137,-0.089,-0.024,0
2024-07-01 11:03:00,M01,0.79,0.579,62.61,12.01,0.199,0.111,-0.025,0
2024-07-01 11:04:00,M01,0.858,0.636,68.17,11.71,0.163,0.056,-0.026,0
2024-07-01 11:05:00,M01,0.83,0.522,62.86,11.58,0.129,-0.044,-0.026,0
2024-07-01 11:06:00,M01,0.751,0.549,66.3,12.33,0.186,-0.035,-0.027,0
2024-07-01 11:07:00,M01,1.169,0.874,79.95,14.1,0.274,0.018,-0.028,1
2024-07-01 11:08:00,M01,0.885,0.71,65.96,10.83,0.234,0.083,-0.029,0
2024-07-01 11:09:00,M01,0.817,0.561,66.35,12.06,0.241,0.016,-0.03,0
2024-07-01 11:10:00,M01,0.83,0.602,66.13,12.21,0.158,-0.022,-0.031,0
2024-07-01 11:11:00,M01,0.899,0.669,67.01,12.52,0.185,0.026,-0.031,0
2024-07-01 11:12:00,M01,0.833,0.527,64.54,12.18,0.214,0.002,-0.032,0
2024-07-01 11:13:00,M01,0.873,0.535,64.18,11.38,0.136,-0.101,-0.033,0
2024-07-01 11:14:00,M01,0.793,0.687,65.98,12.32,0.081,0.074,-0.034,0
2024-07-01 11:15:00,M01,0.767,0.591,62.62,11.39,0.223,0.037,-0.034,0
2024-07-01 11:16:00,M01,0.886,0.618,61.65,12.84,0.18,0.1,-0.035,0
2024-07-01 11:17:00,M01,0.849,0.619,64.45,11.73,0.138,-0.086,-0.036,0
2024-07-01 11:18:00,M01,0.74,0.557,61.56,11.34,0.215,-0.018,-0.037,0
2024-07-01 11:19:00,M01,0.747,0.545,64.95,12.68,0.144,-0.004,-0.037,0
2024-07-01 11:20:00,M01,0.805,0.605,66.91,12.14,0.23,0.102,-0.038,0
2024-07-01 11:21:00,M01,1.271,0.926,79.14,14.77,0.315,0.002,-0.038,1
2024-07-01 11:22:00,M01,0.817,0.667,62.58,12.16,0.106,0.036,-0.039,0
2024-07-01 11:23:00,M01,0.806,0.69,63.94,11.56,0.167,-0.103,-0.04,0
2024-07-01 11:24:00,M01,0.734,0.601,67.97,11.89,0.157,-0.016,-0.04,0
2024-07-01 11:25:00,M01,0.784,0.564,66.14,11.81,0.09,-0.009,-0.041,0
2024-07-01 11:26:00,M01,0.868,0.575,65.92,11.62,0.117,-0.037,-0.041,0
2024-07-01 11:27:00,M01,1.14,1.011,76.86,14.06,0.218,0.13,-0.042,1
2024-07-01 11:28:00,M01,0.8,0.489,63.63,12.48,0.141,-0.014,-0.043,0
2024-07-01 11:29:00,M01,0.764,0.574,66.09,11.86,0.111,-0.09,-0.043,0
2024-07-01 11:30:00,M01,0.877,0.591,62.94,11.83,0.261,-0.092,-0.044,0
2024-07-01 11:31:00,M01,0.959,0.599,64.6,11.15,0.223,-0.04,-0.044,0
2024-07-01 11:32:00,M01,0.782,0.632,66.8,12.9,0.216,0.101,-0.045,0
2024-07-01 11:33:00,M01,0.754,0.515,66.23,12.03,0.21,-0.038,-0.045,0
2024-07-01 11:34:00,M01,0.859,0.675,63.48,10.93,0.237,-0.073,-0.045,0
2024-07-01 11:35:00,M01,0.809,0.685,61.5,11.34,0.241,0.032,-0.046,0
2024-07-01 11:36:00,M01,0.756,0.649,63.2,11.05,0.227,0.083,-0.046,0
2024-07-01 11:37:00,M01,0.738,0.624,67.95,12.78,0.149,-0.063,-0.047,0
2024-07-01 11:38:00,M01,0.663,0.631,65.15,11.86,0.189,-0.08,-0.047,0
2024-07-01 11:39:00,M01,0.81,0.606,65.73,12.16,0.149,0.023,-0.047,0
2024-07-01 11:40:00,M01,0.749,0.662,66.02,11.92,0.207,0.015,-0.048,0
2024-07-01 11:41:00,M01,0.887,0.502,62.61,11.67,0.158,-0.1,-0.048,0
2024-07-01 11:42:00,M01,0.729,0.655,66.37,11.63,0.102,0.028,-0.048,0
2024-07-01 11:43:00,M01,0.852,0.56,67.19,12.01,0.179,-0.012,-0.048,0
2024-07-01 11:44:00,M01,0.746,0.535,65.74,11.94,0.131,0.094,-0.049,0
2024-07-01 11:45:00,M01,0.744,0.632,67.2,11.73,0.141,0.102,-0.049,0
2024-07-01 11:46:00,M01,1.19,0.872,78.89,14.61,0.166,0.124,-0.049,1
2024-07-01 11:47:00,M01,0.76,0.641,64.73,11.87,0.11,-0.077,-0.049,0
2024-07-01 11:48:00,M01,0.838,0.602,66.83,12.0,0.212,0.087,-0.049,0
2024-07-01 11:49:00,M01,0.829,0.621,63.65,12.03,0.192,-0.025,-0.05,0
2024-07-01 11:50:00,M01,0.828,0.491,65.25,11.65,0.188,-0.084,-0.05,0
2024-07-01 11:51:00,M01,0.821,0.612,65.95,11.8,0.099,-0.091,-0.05,0
2024-07-01 11:52:00,M01,0.835,0.737,65.91,11.53,0.135,-0.027,-0.05,0
2024-07-01 11:53:00,M01,0.799,0.689,67.96,12.1,0.165,0.089,-0.05,0
2024-07-01 11:54:00,M01,0.804,0.563,64.75,11.57,0.231,-0.103,-0.05,0
2024-07-01 11:55:00,M01,0.74,0.6,65.21,12.32,0.182,-0.037,-0.05,0
2024-07-01 11:56:00,M01,0.744,0.634,67.33,11.63,0.184,-0.049,-0.05,0
2024-07-01 11:57:00,M01,0.808,0.63,64.81,10.92,0.21,0.014,-0.05,0
2024-07-01 11:58:00,M01,0.761,0.564,66.63,11.31,0.21,0.042,-0.05,0
2024-07-01 11:59:00,M01,0.78,0.61,66.74,11.53,0.221,0.01,-0.05,0
2024-07-01 12:00:00,M01,0.805,0.502,63.68,12.96,0.096,-0.076,-0.05,0
2024-07-01 12:01:00,M01,0.923,0.845,71.3,14.64,0.111,0.05,-0.05,1
2024-07-01 12:02:00,M01,0.796,0.647,66.99,12.39,0.19,0.088,-0.05,0
2024-07-01 12:03:00,M01,1.264,0.88,75.7,15.14,0.328,0.104,-0.049,1
2024-07-01 12:04:00,M01,0.8,0.664,64.39,12.48,0.157,0.124,-0.049,0
2024-07-01 12:05:00,M01,0.706,0.659,66.23,11.34,0.183,-0.004,-0.049,0
2024-07-01 12:06:00,M01,1.097,0.87,75.47,15.41,0.18,-0.04,-0.049,1
2024-07-01 12:07:00,M01,0.765,0.587,61.36,11.91,0.163,0.029,-0.049,0
2024-07-01 12:08:00,M01,0.754,0.586,61.77,11.97,0.168,0.059,-0.048,0
2024-07-01 12:09:00,M01,0.834,0.621,63.4,11.61,0.177,-0.081,-0.048,0
2024-07-01 12:10:00,M01,1.249,0.871,74.04,15.01,0.259,0.128,-0.048,1
2024-07-01 12:11:00,M01,0.688,0.641,67.34,12.85,0.073,0.045,-0.048,0
2024-07-01 12:12:00,M01,0.78,0.643,64.87,11.84,0.093,-0.113,-0.047,0
2024-07-01 12:13:00,M01,0.813,0.655,65.75,12.17,0.154,-0.087,-0.047,0
2024-07-01 12:14:00,M01,1.265,0.872,78.03,13.85,0.308,0.086,-0.047,1
2024-07-01 12:15:00,M01,1.131,0.92,80.9,14.94,0.257,-0.173,-0.046,1
2024-07-01 12:16:00,M01,0.845,0.563,65.31,13.35,0.214,-0.081,-0.046,0
2024-07-01 12:17:00,M01,1.19,0.989,76.15,15.3,0.357,-0.102,-0.045,1
2024-07-01 12:18:00,M01,0.865,0.566,65.97,10.85,0.185,-0.041,-0.045,0
2024-07-01 12:19:00,M01,0.725,0.572,67.84,12.31,0.077,0.083,-0.045,0
2024-07-01 12:20:00,M01,0.78,0.608,63.3,11.8,0.151,-0.052,-0.044,0
2024-07-01 12:21:00,M01,0.847,0.653,64.55,11.78,0.171,0.01,-0.044,0
2024-07-01 12:22:00,M01,0.821,0.534,64.38,12.0,0.088,-0.049,-0.043,0
2024-07-01 12:23:00,M01,0.807,0.523,64.06,12.39,0.227,-0.024,-0.043,0
2024-07-01 12:24:00,M01,0.778,0.618,61.88,12.64,0.137,0.117,-0.042,0
2024-07-01 12:25:00,M01,1.232,0.831,75.05,16.08,0.308,0.057,-0.042,1
2024-07-01 12:26:00,M01,0.895,0.561,64.39,11.87,0.185,0.051,-0.041,0
2024-07-01 12:27:00,M01,1.219,1.012,76.15,15.62,0.173,-0.106,-0.04,1
2024-07-01 12:28:00,M01,0.834,0.574,62.29,12.09,0.142,-0.09,-0.04,0
2024-07-01 12:29:00,M01,0.809,0.552,66.58,12.04,0.15,-0.077,-0.039,0
2024-07-01 12:30:00,M01,0.749,0.574,68.58,11.53,0.176,0.108,-0.039,0
2024-07-01 12:31:00,M01,0.804,0.554,67.12,12.12,0.172,0.025,-0.038,0
2024-07-01 12:32:00,M01,0.856,0.603,64.93,12.18,0.186,-0.073,-0.037,0
2024-07-01 12:33:00,M01,0.869,0.631,65.14,12.03,0.259,0.013,-0.037,0
2024-07-01 12:34:00,M01,0.725,0.545,64.63,12.44,0.127,-0.061,-0.036,0
2024-07-01 12:35:00,M01,0.778,0.647,66.03,10.8,0.191,0.067,-0.035,0
2024-07-01 12:36:00,M01,0.756,0.503,61.5,12.23,0.184,-0.099,-0.035,0
2024-07-01 12:37:00,M01,0.876,0.563,68.53,12.26,0.189,0.051,-0.034,0
2024-07-01 12:38:00,M01,0.766,0.572,67.05,11.88,0.177,0.057,-0.033,0
2024-07-01 12:39:00,M01,0.726,0.555,68.26,12.24,0.087,-0.061,-0.032,0
2024-07-01 12:40:00,M01,0.878,0.671,63.66,12.04,0.114,-0.025,-0.032,0
2024-07-01 12:41:00,M01,0.869,0.586,63.48,12.61,0.169,-0.027,-0.031,0
2024-07-01 12:42:00,M01,0.78,0.608,66.87,11.35,0.165,-0.009,-0.03,0
2024-07-01 12:43:00,M01,0.846,0.558,67.16,11.68,0.164,-0.038,-0.029,0
2024-07-01 12:44:00,M01,0.747,0.567,67.73,12.09,0.186,-0.036,-0.028,0
2024-07-01 12:45:00,M01,0.788,0.503,68.31,11.53,0.186,-0.055,-0.028,0
2024-07-01 12:46:00,M01,0.847,0.469,65.48,11.12,0.143,0.091,-0.027,0
2024-07-01 12:47:00,M01,0.831,0.639,64.65,11.0,0.226,0.08,-0.026,0
2024-07-01 12:48:00,M01,0.796,0.605,62.35,12.03,0.229,-0.003,-0.025,0
2024-07-01 12:49:00,M01,0.779,0.541,65.04,11.86,0.162,-0.027,-0.024,0
2024-07-01 12:50:00,M01,0.866,0.618,67.27,12.13,0.154,0.069,-0.023,0
2024-07-01 12:51:00,M01,0.949,0.725,63.46,11.04,0.251,-0.064,-0.022,0
2024-07-01 12:52:00,M01,0.785,0.604,61.38,11.79,0.23,-0.083,-0.021,0
2024-07-01 12:53:00,M01,0.767,0.549,67.12,11.99,0.226,0.001,-0.021,0
2024-07-01 12:54:00,M01,0.785,0.586,66.05,12.23,0.138,-0.031,-0.02,0
2024-07-01 12:55:00,M01,1.105,0.915,81.21,15.58,0.117,-0.166,-0.019,1
